date,act_symbol,expiration,strike,type,bid,ask,vol,delta,gamma,theta,vega,rho,underlying_price
9/2/2019,AAL,22/2/2019,34.5,Put,0.35,0.39,0.3431,-0.2481,0.1315,-0.0268,0.0221,-0.0033,27.79
9/2/2019,AAL,22/2/2019,35.5,Call,1.17,1.24,0.3272,0.6047,0.167,-0.0332,0.0271,0.0079,27.79
9/2/2019,AAL,22/2/2019,35.5,Put,0.64,0.7,0.3263,-0.396,0.1688,-0.0309,0.027,-0.0051,27.79
9/2/2019,AAL,22/2/2019,36,Call,0.88,0.95,0.3193,0.5187,0.1771,-0.0333,0.0281,0.0068,27.79
9/2/2019,AAL,22/2/2019,36,Put,0.85,0.92,0.3204,-0.4827,0.1782,-0.0312,0.0281,-0.006,27.79
9/2/2019,AAL,22/2/2019,36.5,Call,0.65,0.69,0.312,0.4289,0.1785,-0.0319,0.0277,0.0057,27.79
9/2/2019,AAL,22/2/2019,36.5,Put,1.12,1.18,0.3164,-0.5718,0.1779,-0.0301,0.0275,-0.0069,27.79
9/2/2019,AAL,22/2/2019,37.5,Call,0.31,0.35,0.3046,0.2616,0.1516,-0.0256,0.0229,0.0035,27.79
9/2/2019,AAL,22/2/2019,37.5,Put,1.79,1.84,0.3114,-0.7369,0.1517,-0.0241,0.0233,-0.0081,27.79
9/2/2019,AAL,22/2/2019,38.5,Call,0.13,0.16,0.3018,0.1378,0.1035,-0.0171,0.0155,0.0018,27.79
9/2/2019,AAL,22/2/2019,38.5,Put,2.6,2.69,0.3195,-0.8527,0.1065,-0.017,0.0166,-0.0082,27.79
9/2/2019,AAL,22/2/2019,39.5,Call,0.05,0.09,0.3151,0.0725,0.0621,-0.0111,0.0097,0.001,27.79
9/2/2019,AAL,22/2/2019,39.5,Put,3.5,3.65,0.3442,-0.914,0.0697,-0.0121,0.0114,-0.0075,27.79
9/2/2019,AAL,22/2/2019,41.5,Call,0,0.04,0.3151,0.012,0.014,-0.0025,0.0022,0.0002,27.79
9/2/2019,AAL,22/2/2019,41.5,Put,5.45,5.6,0.3442,-0.9901,0.0215,-0.0017,0.0022,-0.002,27.79
9/2/2019,AAL,8/3/2019,30.5,Call,5.25,6,0.3959,0.9435,0.0288,-0.01,0.0113,0.0217,27.79
9/2/2019,AAL,8/3/2019,30.5,Put,0.05,0.33,0.4164,-0.0652,0.0306,-0.0093,0.0127,-0.0019,27.79
9/2/2019,AAL,8/3/2019,32.5,Call,3.75,4.1,0.4039,0.8384,0.0608,-0.0194,0.0244,0.0201,27.79
9/2/2019,AAL,8/3/2019,32.5,Put,0.24,0.33,0.3713,-0.1433,0.0614,-0.0147,0.0236,-0.0039,27.79
9/2/2019,AAL,8/3/2019,33.5,Call,2.97,3.15,0.3718,0.7792,0.08,-0.0214,0.0296,0.0192,27.79
9/2/2019,AAL,8/3/2019,33.5,Put,0.44,0.52,0.3665,-0.2182,0.0812,-0.0188,0.0301,-0.0058,27.79
9/2/2019,AAL,8/3/2019,34.5,Call,2.24,2.45,0.3669,0.6876,0.0968,-0.0247,0.0353,0.0172,27.79
9/2/2019,AAL,8/3/2019,34.5,Put,0.69,0.9,0.371,-0.3148,0.0967,-0.0228,0.0349,-0.0083,27.79
9/2/2019,AAL,8/3/2019,35.5,Call,1.59,1.79,0.3516,0.5841,0.1113,-0.0258,0.0389,0.0148,27.79
9/2/2019,AAL,8/3/2019,35.5,Put,1.04,1.28,0.3604,-0.4185,0.1097,-0.0242,0.0389,-0.0108,27.79
9/2/2019,AAL,8/3/2019,36,Call,1.32,1.52,0.3486,0.5273,0.1145,-0.0259,0.0397,0.0135,27.79
9/2/2019,AAL,8/3/2019,36,Put,1.26,1.46,0.3501,-0.4746,0.1154,-0.0238,0.0397,-0.012,27.79
9/2/2019,AAL,8/3/2019,36.5,Call,1.06,1.17,0.3296,0.4665,0.121,-0.0244,0.0396,0.012,27.79
9/2/2019,AAL,8/3/2019,36.5,Put,1.52,1.59,0.3307,-0.5359,0.1221,-0.0222,0.0396,-0.0132,27.79
9/2/2019,AAL,8/3/2019,37.5,Call,0.67,0.86,0.3357,0.3551,0.1112,-0.0231,0.0371,0.0092,27.79
9/2/2019,AAL,8/3/2019,37.5,Put,2.13,2.35,0.3461,-0.6432,0.11,-0.0216,0.0368,-0.0152,27.79
9/2/2019,AAL,8/3/2019,38.5,Call,0.4,0.6,0.338,0.2579,0.0959,-0.0201,0.0322,0.0067,27.79
9/2/2019,AAL,8/3/2019,38.5,Put,2.85,3.05,0.3419,-0.7445,0.0971,-0.0181,0.0326,-0.0163,27.79
9/2/2019,AAL,8/3/2019,39.5,Call,0.21,0.5,0.3375,0.1774,0.0773,-0.0161,0.0259,0.0047,27.79
9/2/2019,AAL,8/3/2019,39.5,Put,3.6,3.9,0.3375,-0.8296,0.0792,-0.0137,0.0262,-0.0163,27.79
9/2/2019,AAL,8/3/2019,41.5,Call,0.05,0.12,0.3182,0.0609,0.038,-0.007,0.012,0.0016,27.79
9/2/2019,AAL,8/3/2019,41.5,Put,5.3,5.9,0.3443,-0.9329,0.0443,-0.0066,0.0137,-0.0128,27.79
9/2/2019,AAL,29/3/2019,30.5,Call,5.75,6.05,0.3986,0.8912,0.0355,-0.0119,0.0246,0.0351,27.79
9/2/2019,AAL,29/3/2019,30.5,Put,0.26,0.66,0.3986,-0.1088,0.0357,-0.0098,0.0242,-0.0052,27.79
9/2/2019,AAL,29/3/2019,32.5,Call,4.1,4.35,0.38,0.7966,0.0564,-0.0162,0.0373,0.0328,27.79
9/2/2019,AAL,29/3/2019,32.5,Put,0.5,0.98,0.4128,-0.2197,0.0547,-0.0159,0.0397,-0.0105,27.79
9/2/2019,AAL,29/3/2019,33.5,Call,3.35,3.55,0.3665,0.7355,0.0677,-0.0178,0.0431,0.0309,27.79
9/2/2019,AAL,29/3/2019,33.5,Put,0.71,1.01,0.3718,-0.2679,0.0677,-0.0159,0.043,-0.0126,27.79
9/2/2019,AAL,29/3/2019,34.5,Call,2.7,2.91,0.367,0.6591,0.0758,-0.0196,0.0484,0.0281,27.79
9/2/2019,AAL,29/3/2019,34.5,Put,1.1,1.36,0.3753,-0.3447,0.0752,-0.0178,0.0481,-0.0159,27.79
9/2/2019,AAL,29/3/2019,35.5,Call,2.07,2.32,0.3583,0.5788,0.0828,-0.0202,0.0516,0.025,27.79
9/2/2019,AAL,29/3/2019,35.5,Put,1.52,1.59,0.3537,-0.4233,0.085,-0.0177,0.0514,-0.0191,27.79
9/2/2019,AAL,29/3/2019,36,Call,1.8,2.1,0.3596,0.5368,0.0838,-0.0205,0.0524,0.0233,27.79
9/2/2019,AAL,29/3/2019,36,Put,1.71,1.96,0.36,-0.466,0.085,-0.0182,0.0523,-0.0208,27.79
9/2/2019,AAL,29/3/2019,36.5,Call,1.51,1.85,0.3522,0.4939,0.0859,-0.0201,0.0526,0.0216,27.79
9/2/2019,AAL,29/3/2019,36.5,Put,1.95,2.26,0.3601,-0.5082,0.0853,-0.0182,0.0523,-0.0224,27.79
9/2/2019,AAL,29/3/2019,37.5,Call,1.12,1.4,0.3483,0.4095,0.0846,-0.0192,0.0512,0.0181,27.79
9/2/2019,AAL,29/3/2019,37.5,Put,2.54,2.76,0.3494,-0.5947,0.0859,-0.0169,0.0506,-0.0252,27.79
9/2/2019,AAL,29/3/2019,38.5,Call,0.79,1.05,0.3445,0.3295,0.0797,-0.0176,0.0477,0.0147,27.79
9/2/2019,AAL,29/3/2019,38.5,Put,3.2,3.4,0.3432,-0.6774,0.0817,-0.0151,0.0469,-0.0272,27.79
9/2/2019,AAL,29/3/2019,39.5,Call,0.51,0.7,0.3294,0.2483,0.0729,-0.0146,0.0417,0.0112,27.79
9/2/2019,AAL,29/3/2019,39.5,Put,3.85,4.15,0.3305,-0.7591,0.0749,-0.0123,0.0415,-0.0281,27.79
9/2/2019,AAL,29/3/2019,41.5,Call,0.21,0.41,0.3366,0.1438,0.0511,-0.0106,0.0299,0.0065,27.79
9/2/2019,AAL,29/3/2019,41.5,Put,5.55,5.95,0.3506,-0.8564,0.0537,-0.0091,0.0312,-0.027,27.79
9/2/2019,AAP,15/2/2019,140,Call,22.1,23.3,0.4488,0.9924,0.0021,-0.0247,0.0047,0.0266,155.69
9/2/2019,AAP,15/2/2019,140,Put,0.05,0.15,0.4488,-0.0076,0.0021,-0.015,0.0047,-0.0002,155.69
9/2/2019,AAP,15/2/2019,145,Call,17.1,17.8,0.4488,0.9689,0.007,-0.0604,0.0158,0.0268,155.69
9/2/2019,AAP,15/2/2019,145,Put,0.1,0.15,0.4488,-0.0311,0.007,-0.0503,0.0158,-0.001,155.69
9/2/2019,AAP,15/2/2019,150,Call,12.2,13,0.3309,0.9616,0.0112,-0.0544,0.0188,0.0275,155.69
9/2/2019,AAP,15/2/2019,150,Put,0.15,0.25,0.3688,-0.0556,0.0135,-0.0659,0.0252,-0.0018,155.69
9/2/2019,AAP,15/2/2019,155,Call,7.8,8.2,0.3197,0.8618,0.0307,-0.1226,0.0496,0.0253,155.69
9/2/2019,AAP,15/2/2019,155,Put,0.5,0.65,0.3316,-0.1464,0.0309,-0.1211,0.0522,-0.0044,155.69
9/2/2019,AAP,15/2/2019,160,Call,3.9,4.2,0.2945,0.6551,0.0557,-0.1815,0.0828,0.0196,155.69
9/2/2019,AAP,15/2/2019,160,Put,1.45,1.7,0.2955,-0.3459,0.0558,-0.1721,0.0834,-0.01,155.69
9/2/2019,AAP,15/2/2019,165,Call,1.25,1.6,0.2745,0.3503,0.06,-0.1674,0.0833,0.0106,155.69
9/2/2019,AAP,15/2/2019,165,Put,3.8,4.1,0.2752,-0.6513,0.0605,-0.1579,0.082,-0.017,155.69
9/2/2019,AAP,15/2/2019,170,Call,0.2,0.35,0.2542,0.1026,0.0313,-0.0742,0.0402,0.0031,155.69
9/2/2019,AAP,15/2/2019,170,Put,7.6,8.1,0.265,-0.8922,0.0326,-0.0721,0.0415,-0.0176,155.69
9/2/2019,AAP,15/2/2019,175,Call,0,0.15,0.2542,0.0183,0.0078,-0.0185,0.0101,0.0006,155.69
9/2/2019,AAP,15/2/2019,175,Put,12.1,13,0.265,-0.9852,0.0096,-0.0122,0.0093,-0.0069,155.69
9/2/2019,AAP,15/2/2019,180,Call,0,0.1,0.2542,0.0019,0.0011,-0.0025,0.0014,0.0001,155.69
9/2/2019,AAP,15/2/2019,180,Put,17.3,18.1,0.265,-1,0,0,0,0,155.69
9/2/2019,AAP,15/2/2019,185,Call,0,0.1,0.2542,0.0001,0.0001,-0.0002,0.0001,0,155.69
9/2/2019,AAP,15/2/2019,185,Put,22.3,23.1,0.265,-1,0,0,0,0,155.69
9/2/2019,AAP,15/3/2019,140,Call,24.5,25.1,0.5015,0.8532,0.0091,-0.0909,0.1155,0.1089,155.69
9/2/2019,AAP,15/3/2019,140,Put,1.95,2.3,0.5077,-0.1494,0.0092,-0.0834,0.1163,-0.0234,155.69
9/2/2019,AAP,15/3/2019,145,Call,20.4,21.1,0.491,0.7991,0.0114,-0.1068,0.1411,0.1044,155.69
